Index,Player,Kills,Deaths,K/D,BP Rating,Slayer Rating,T.E.S,NTK%,Series Played,HP Kills,HP Deaths,HP K/D,HP K/10m,HP D/10m,HP A/10m,HP DMG/10m,HP Time/10m,HP ENG/10m,HP NTK%,HP Maps Played,SND Kills,SND Deaths,SND K/D,Plants,Defuses,SND OpD Won,SND OpD Lost,SND OpD W%,SND KpR,SND DpR,SND ApR,SND ADR,SND Clutches,SND NTK%,SND Maps Played,OVL Kills,OVL Deaths,OVL K/D,Overloads,OVL K/10m,OVL D/10m,OVL A/10m,OVL DMG/10m,OVL GOALS/10m,OVL ENG/10m,OVL NTK%,Ovl Maps Played
32,MettalZ,757,796,0.95,0.95,85.39,0.68,26.2%,10,450,452,1.00,24.54,24.65,9.16,3131,72.21,58.35,0,17,91,100,0.91,14,4,24,22,52.2%,0.67,0.74,0.20,96.21,0,54.9%,14,216,244,0.89,7,21.48,24.26,10.24,2887,0.70,55.98,68.5%,10
33,Nastie,679,626,1.08,1.06,88.29,0.70,29.5%,8,399,397,1.01,23.36,23.25,8.96,3093,64.00,55.57,0,16,79,71,1.11,3,5,6,10,37.5%,0.77,0.70,0.19,110.02,1,59.5%,12,201,158,1.27,8,24.52,19.28,7.44,2920,0.98,51.24,76.1%,8
34,Neptune,977,914,1.07,1.12,94.05,0.69,26.5%,12,571,508,1.12,27.81,24.74,10.47,3331,50.85,63.02,0,20,121,106,1.14,7,4,25,22,53.2%,0.78,0.68,0.13,101.01,5,58.7%,18,285,300,0.95,7,21.36,22.49,7.20,2552,0.52,51.05,66.0%,13
35,Nero,739,720,1.03,0.96,93.50,0.69,28.3%,9,428,419,1.02,25.80,25.25,9.82,3359,69.85,60.87,0,16,73,71,1.03,4,2,11,9,55.0%,0.71,0.69,0.24,111.71,1,64.4%,11,238,230,1.03,4,26.31,25.43,9.51,3305,0.44,61.25,68.1%,9
36,Pred,803,732,1.10,1.05,91.22,0.70,29.1%,10,472,461,1.02,25.20,24.61,9.50,3091,42.44,59.31,0,17,90,72,1.25,4,4,8,13,38.1%,0.78,0.63,0.24,108.99,2,65.6%,13,241,199,1.21,6,23.61,19.50,6.56,2832,0.59,49.67,72.6%,10
37,Purj,616,740,0.83,0.91,79.16,0.67,21.4%,8,387,467,0.83,22.66,27.34,11.24,3120,56.27,61.25,0,16,63,79,0.80,1,2,14,24,36.8%,0.62,0.77,0.19,85.69,2,54.0%,12,166,194,0.86,9,20.25,23.67,9.88,2598,1.10,53.80,59.0%,8
38,ReeaL,640,684,0.94,0.96,83.05,0.67,30.2%,9,352,384,0.92,22.95,25.04,9.65,2939,64.80,57.63,0,15,74,92,0.80,2,3,18,26,40.9%,0.59,0.73,0.13,84.27,2,63.5%,13,214,208,1.03,11,24.24,23.56,8.95,2881,1.25,56.74,68.2%,9
39,RenKoR,819,705,1.16,1.04,91.17,0.73,26.1%,10,509,399,1.28,27.76,21.76,8.89,3539,61.63,58.41,0,17,76,82,0.93,14,8,7,10,41.2%,0.56,0.61,0.27,89.17,3,63.2%,14,234,224,1.04,6,23.27,22.27,8.85,2953,0.60,54.39,70.9%,10
40,Scrap,717,704,1.02,1.00,92.58,0.70,27.6%,10,417,393,1.06,26.68,25.14,11.20,3693,50.35,63.02,0,14,76,74,1.03,2,1,16,8,66.7%,0.75,0.73,0.20,112.13,1,64.5%,12,224,237,0.95,14,22.83,24.16,8.46,3088,1.43,55.45,66.5%,10
41,Shotzzy,825,827,1.00,1.08,90.36,0.64,31.8%,11,421,455,0.93,24.34,26.31,7.17,3022,58.75,57.83,0,17,94,88,1.07,9,2,22,23,48.9%,0.75,0.70,0.13,94.05,1,57.4%,14,310,284,1.09,10,25.26,23.14,7.25,2997,0.81,55.66,67.1%,12
42,Sib,981,947,1.04,1.08,93.34,0.71,32.4%,12,529,531,1.00,25.77,25.86,11.20,3449,60.00,62.83,0,20,120,106,1.13,4,1,29,26,52.7%,0.77,0.68,0.19,110.17,0,67.5%,18,332,310,1.07,6,24.89,23.24,9.00,3147,0.45,57.12,71.4%,13
43,Simp,1032,893,1.16,1.15,97.39,0.71,30.2%,13,556,500,1.11,26.57,23.90,9.80,3401,64.14,60.27,0,20,140,111,1.26,33,1,20,15,57.1%,0.85,0.67,0.22,108.58,2,62.1%,18,336,282,1.19,11,25.58,21.47,6.62,3053,0.84,53.67,67.0%,13
44,Skyz,737,819,0.90,0.95,77.25,0.71,27.8%,11,420,461,0.91,21.69,23.81,11.57,3068,67.50,57.07,0,18,87,97,0.90,1,2,17,8,68.0%,0.61,0.68,0.21,103.32,0,58.6%,16,230,261,0.88,9,20.48,23.24,10.33,2861,0.80,54.06,67.0%,11
45,SlasheR,98,125,0.78,0.72,63.05,0.70,25.5%,2,58,67,0.87,19.12,22.09,11.21,2799,53.74,52.42,0,3,8,13,0.62,0,0,1,1,50.0%,0.42,0.68,0.11,115.16,1,62.5%,2,32,45,0.71,0,15.55,21.86,10.20,2540,0,47.61,62.5%,2
46,Snoopy,710,691,1.03,1.01,91.90,0.68,27.7%,8,414,436,0.95,24.24,25.53,9.43,2935,59.67,59.20,0,16,78,81,0.96,21,1,17,13,56.7%,0.76,0.79,0.12,96.73,0,59.0%,12,218,174,1.25,3,26.60,21.23,7.93,3192,0.37,55.75,69.3%,8
47,SupeR,737,664,1.11,1.05,84.22,0.73,32.0%,10,410,391,1.05,22.36,21.32,9.71,2891,52.84,53.39,0,17,110,80,1.38,4,2,26,7,78.8%,0.81,0.59,0.19,116.60,4,65.5%,14,217,193,1.12,4,21.58,19.19,7.95,2847,0.40,48.72,75.6%,10
48,TJHaLy,429,455,0.94,0.90,89.95,0.65,28.2%,6,232,248,0.94,23.95,25.60,7.43,3236,52.33,56.98,0,9,48,43,1.12,1,2,10,11,47.6%,0.86,0.77,0.21,115.63,2,54.2%,7,149,164,0.91,5,23.20,25.54,9.50,2961,0.78,58.24,63.8%,6
49,Traixx,755,782,0.97,0.95,85.19,0.67,29.3%,10,424,435,0.97,23.12,23.72,8.94,2994,51.48,55.79,0,17,95,96,0.99,8,3,18,21,46.2%,0.70,0.71,0.18,98.58,1,62.1%,14,236,251,0.94,7,23.47,24.96,8.35,2885,0.70,56.78,68.6%,10
50,Vivid,580,656,0.88,0.86,79.49,0.66,24.8%,8,346,379,0.91,22.78,24.95,9.94,3147,52.61,57.68,0,14,77,86,0.90,6,1,8,9,47.1%,0.67,0.75,0.18,104.63,3,61.0%,13,157,191,0.82,4,19.20,23.36,7.70,2711,0.49,50.26,61.8%,8
